 "z" , "annee" , "numberd" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "2001" , "588982164" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "2013" , "672780846" ,
 "https://ex.org/nous/region/Guyane" , "2010" , "108234" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "2008" , "140722146" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "2009" , "15775010" ,
 "https://ex.org/nous/region/Guadeloupe" , "2008" , "329422" ,
 "https://ex.org/nous/region/Normandie" , "2012" , "21021310" ,
 "https://ex.org/nous/region/Corse" , "2014" , "235928" ,
 "https://ex.org/nous/region/Bretagne" , "2007" , "29452788" ,
 "https://ex.org/nous/region/Mayotte" , "2006" , "888" ,
 "https://ex.org/nous/region/Bretagne" , "2010" , "30563412" ,
 "https://ex.org/nous/region/Corse" , "2001" , "225016" ,
 "https://ex.org/nous/region/Martinique" , "2005" , "260370" ,
 "https://ex.org/nous/region/Corse" , "2013" , "232936" ,
 "https://ex.org/nous/region/Guyane" , "2007" , "111090" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "2011" , "148712982" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "2014" , "673807216" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "2012" , "15854404" ,
 "https://ex.org/nous/region/Guadeloupe" , "2011" , "347814" ,
 "https://ex.org/nous/region/Normandie" , "2009" , "20500820" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "2012" , "660254964" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "2014" , "16285400" ,
 "https://ex.org/nous/region/Guyane" , "2011" , "122430" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "2007" , "138978198" ,
 "https://ex.org/nous/region/Normandie" , "2013" , "21562960" ,
 "https://ex.org/nous/region/Normandie" , "2001" , "19500550" ,
 "https://ex.org/nous/region/Guadeloupe" , "2007" , "329840" ,
 "https://ex.org/nous/region/Bretagne" , "2008" , "29201904" ,
 "https://ex.org/nous/region/Mayotte" , "2005" , "708" ,
 "https://ex.org/nous/region/Corse" , "2009" , "216964" ,
 "https://ex.org/nous/region/Bretagne" , "2011" , "31406316" ,
 "https://ex.org/nous/region/Martinique" , "2006" , "270060" ,
 "https://ex.org/nous/region/Corse" , "2012" , "220264" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "2009" , "642279422" ,
