 "region" , "numberDeEtablissment" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Alsace-Champagne-Ardenne-Lorraine" , "218" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/%C3%89tranger" , "7" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Languedoc-Roussillon-Midi-Pyr%C3%A9n%C3%A9es" , "239" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Auvergne-Rh%C3%B4ne-Alpes" , "251" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Bourgogne-Franche-Comt%C3%A9" , "107" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/La%20R%C3%A9union" , "28" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Centre-Val%20de%20Loire" , "65" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Guadeloupe" , "19" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Bretagne" , "138" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Martinique" , "15" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Normandie" , "115" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Guyane" , "21" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Corse" , "22" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Nord-Pas-de-Calais-Picardie" , "216" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Aquitaine-Limousin-Poitou-Charentes" , "244" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/%C3%8Ele-de-France" , "521" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Pays%20de%20la%20Loire" , "92" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Mayotte" , "2" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Provence-Alpes-C%C3%B4te%20d'Azur" , "175" ,
 "http://www.enseignementsup-recherche.gouv.fr/resource/Collectivit%C3%A9s%20d'outre-mer" , "11" ,
