 "city" , "numberDeEtablissment" ,
 "Grenoble" , "40" ,
 "Le Puy-en-Velay" , "2" ,
 "Vire" , "1" ,
 "Niort" , "6" ,
 "Oyonnax" , "1" ,
 "Saint-Denis" , "22" ,
 "Saint-Brieuc" , "9" ,
 "Rennes" , "58" ,
 "Lannion" , "3" ,
 "Figeac" , "1" ,
 "Bordeaux" , "92" ,
 "Brive-la-Gaillarde" , "5" ,
 "Maubeuge" , "3" ,
 "Narbonne" , "5" ,
 "Sélestat" , "3" ,
 "Brest" , "27" ,
 "Fougères" , "1" ,
 "Carcassonne" , "4" ,
 "Bagnols-sur-Cèze" , "1" ,
 "Vienne" , "1" ,
 "Auch" , "2" ,
 "Marseille - Aix-en-Provence" , "71" ,
 "Avignon" , "15" ,
 "Punaauia" , "3" ,
 "Saint-Lô" , "4" ,
 "Aurillac" , "2" ,
 "Font-Romeu-Odeillo-Via" , "1" ,
 "Valence" , "16" ,
 "Sarreguemines" , "3" ,
 "Salon-de-Provence" , "1" ,
 "Rodez" , "5" ,
 "Annemasse" , "1" ,
 "Vesoul" , "4" ,
 "Cholet" , "5" ,
 "Saint-Malo" , "1" ,
 "Perpignan" , "23" ,
 "Coulommiers" , "1" ,
 "Angoulême" , "7" ,
 "Vernon" , "1" ,
 "Cambrai" , "5" ,
 "Sevenans" , "1" ,
 "Caen" , "30" ,
 "Vierzon" , "1" ,
 "Bourgoin-Jallieu" , "1" ,
 "Mulhouse" , "17" ,
 "Le Creusot" , "5" ,
 "Dole" , "1" ,
 "Angers" , "17" ,
 "Laon" , "2" ,
 "Colmar" , "3" ,
 "Soissons" , "2" ,
 "Menton" , "2" ,
 "Millau" , "1" ,
 "Haguenau" , "1" ,
 "Tautavel" , "1" ,
 "Pointe-à-Pitre - Les Abymes" , "17" ,
 "Cahors" , "2" ,
 "Quimper" , "8" ,
 "Montluçon" , "3" ,
 "Châtellerault" , "1" ,
 "Saint-Étienne" , "27" ,
 "Cherbourg-Octeville" , "7" ,
 "Briey" , "1" ,
 "Les Eyzies-de-Tayac-Sireuil" , "1" ,
 "Tulle" , "2" ,
 "Gap" , "3" ,
 "Digne-les-Bains" , "3" ,
 "Saint-Germain-Laprade" , "1" ,
 "Dembeni" , "2" ,
 "Corte" , "16" ,
 "Strasbourg" , "57" ,
 "Orléans" , "18" ,
 "Lons-le-Saunier" , "4" ,
 "Épinal" , "7" ,
 "Meaux" , "1" ,
 "Mont-de-Marsan" , "4" ,
 "Saint-Omer" , "7" ,
 "Nice" , "44" ,
 "Limoges" , "27" ,
 "Rambouillet" , "1" ,
 "Pontivy" , "1" ,
 "Chaumont" , "4" ,
 "Concarneau" , "1" ,
 "Royan" , "1" ,
 "Blois" , "7" ,
 "Nevers" , "5" ,
 "Mâcon" , "1" ,
 "Saint-Pierre" , "6" ,
 "Albaret-Sainte-Marie" , "1" ,
 "Vannes" , "13" ,
 "Fort-de-France" , "14" ,
 "Draguignan" , "5" ,
 "Segonzac" , "2" ,
 "Fonds-Saint-Denis" , "1" ,
 "Saint-Nazaire" , "5" ,
 "Sète" , "1" ,
 "Nantes" , "37" ,
 "Cayenne" , "17" ,
 "Saint-Dié-des-Vosges" , "1" ,
 "Wimereux" , "1" ,
 "Arles" , "5" ,
 "Saint-Quentin" , "2" ,
 "Kourou" , "4" ,
 "La Roche-sur-Yon" , "8" ,
 "Verdun" , "1" ,
 "Nîmes" , "11" ,
 "Bar-le-Duc" , "3" ,
 "Hadeth" , "1" ,
 "Bastia" , "3" ,
 "Athènes" , "1" ,
 "Papeete" , "1" ,
